Order:,2024_O1_I1.dsp,,,,,,,
Date:,Tuesday, September 12, 2023    ,,,,,,,
Time:,22:08:23,,,,,,,
Machine:,DU_TP9,,,,,,,
Notes:,,,,,,,,
,,,,,,,,
Total number of sheets:,39,,,,,,,
Total Number of SubNests:,38,,,,,,,
Order Efficiency:,80.29,,,,,,,
,,,,,,,,
Total ordered parts:,250,,,,,,,
Total Placed Parts:,250,,,,,,,
,,,,,,,,
,,,,,,,,
SubNests in order:,,,,,,,,
-------------------------------------------------------------------------------------------------------------,,,,,,,,
Plate#  ,Size X     ,Size Y     ,Material    ,Thickness ,Qty     ,Area      ,Weight   ,Efficiency   , Punches
-------------------------------------------------------------------------------------------------------------,,,,,,,,
1 ,2200 ,1200 ,ACO NBR 7008 ZC     ,0.95   ,1 ,2.64  ,19.688  ,56.51    ,448
2 ,2200 ,1200 ,ACO NBR 7008 ZC     ,0.95   ,1 ,2.64  ,19.688  ,50.84    ,571
3 ,2200 ,1200 ,ACO NBR 7008 ZC     ,0.95   ,1 ,2.64  ,19.688  ,65.82    ,705
4 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,85.62    ,838
5 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,90.39    ,824
6 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,86.26    ,1094
7 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,89.46    ,1000
8 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,88.27    ,1214
9 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,87.6    ,1026
10 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,89.15    ,1198
11 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,88.78    ,876
12 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,83.13    ,757
13 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,85.38    ,562
14 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,87.14    ,640
15 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,78.54    ,564
16 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,83.95    ,543
17 ,2200 ,1200 ,ACO NBR 7008 ZC     ,1.95   ,1 ,2.64  ,40.412  ,79.65    ,1062
18 ,2200 ,1200 ,ACO NBR 7008 ZC     ,2.7   ,1 ,2.64  ,55.955  ,84.62    ,1061
19 ,2200 ,1200 ,ACO NBR 7008 ZC     ,2.7   ,1 ,2.64  ,55.955  ,58.04    ,660
20 ,2200 ,1200 ,ACO SAE 1008 COMUM     ,1.5   ,1 ,2.64  ,31.086  ,64.77    ,359
21 ,1200 ,800 ,ACO SAE 1008 COMUM     ,1.5   ,1 ,0.96  ,11.304  ,62.07    ,304
22 ,650 ,300 ,ACO SAE 1008 COMUM     ,1.9   ,1 ,0.20  ,2.908  ,51.47    ,304
23 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,2 ,2.64  ,40.412  ,95.32    ,36
24 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,84.73    ,183
25 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,89.53    ,318
26 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,94.12    ,359
27 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,92.8    ,358
28 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,92.02    ,461
29 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,91.84    ,469
30 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,80.53    ,477
31 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,80.38    ,430
32 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,81.62    ,332
33 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,78.54    ,420
34 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,83.49    ,285
35 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,66.4    ,339
36 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,59    ,203
37 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,70.94    ,327
38 ,2200 ,1200 ,ACO NBR 7008 ZC PRE PINTADA     ,1.95   ,1 ,2.64  ,40.412  ,58.87    ,445
-------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
Parts in order:,,,,,,,,
---------------------------------------------------------------------------------------------------------,,,,,,,,
Name,  Ordered Qty,  Placed Qty,  Weight,  Gross,  Material,  Thickness, Length , Width, Area,,,,
---------------------------------------------------------------------------------------------------------,,,,,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.TL.001.01.CB.DFT,  3,  3,  2.57,  2.57,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1697.4 ,  102.4, 0.168 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.TL.002.01.CB.DFT,  2,  2,  3.09,  3.09,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1697.4 ,  122.4, 0.202 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.FE.001.01.CB.DFT,  2,  2,  38.52,  38.52,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  2135 ,  1180, 2.516 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.FE.012.01.BB.DFT,  4,  4,  0.05,  0.05,  ACO NBR 7008 ZC,  1.95,  60 ,  60, 0.003 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.CL.001.02.CB.DFT,  2,  2,  5.20,  5.2,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  2147.4 ,  161.6, 0.34 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.CL.001.03.CB.DFT,  2,  2,  5.51,  5.51,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  2147.4 ,  171.6, 0.36 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.CL.002.02.CB.DFT,  2,  2,  5.20,  5.2,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  2147.4 ,  161.6, 0.34 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.CL.002.03.CB.DFT,  2,  2,  5.51,  5.51,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  2147.4 ,  171.6, 0.36 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.CL.003.01.CB.DFT,  2,  2,  3.75,  3.75,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  2147.4 ,  116.4, 0.245 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.FE.024.01.CB.DFT,  2,  2,  27.02,  27.02,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  2117.4 ,  834.9, 1.765 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.PE.018.01.CB.DFT,  1,  1,  26.48,  26.48,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  2107.4 ,  821.9, 1.73 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.PE.019.01.CB.DFT,  1,  1,  27.07,  27.07,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  2107.4 ,  840.1, 1.768 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.SU.001.01.BB.DFT,  8,  8,  0.05,  0.05,  ACO NBR 7008 ZC,  1.95,  81.8 ,  40, 0.003 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BA.001.01.BA.DFT,  2,  2,  5.33,  5.33,  ACO NBR 7008 ZC,  2.7,  1384 ,  188.8, 0.252 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BA.002.01.BA.DFT,  2,  2,  5.33,  5.33,  ACO NBR 7008 ZC,  2.7,  1384 ,  188.8, 0.252 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BA.036.01.BA.DFT,  2,  2,  6.20,  6.2,  ACO NBR 7008 ZC,  2.7,  1600 ,  188.8, 0.293 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BA.037.01.BA.DFT,  1,  1,  6.73,  6.73,  ACO NBR 7008 ZC,  2.7,  1579.4 ,  206.1, 0.317 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BA.038.01.BA.DFT,  1,  1,  4.33,  4.33,  ACO NBR 7008 ZC,  2.7,  1579.4 ,  131.4, 0.204 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BT.042.01.CB.DFT,  1,  1,  7.17,  7.17,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1600 ,  300, 0.469 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BT.043.01.CB.DFT,  2,  2,  0.66,  0.66,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  718 ,  60, 0.043 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\FFURORESERVA.01.DFT,  1,  1,  0.03,  0.03,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  80 ,  25, 0.002 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\IN.P.BT.040.01.CB.DFT,  1,  1,  1.80,  1.8,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1518 ,  78.3, 0.118 M²,,,,
